t,node_id,ens,wind10m,precip,mslp
0,12001000201,0,6.931063891495226,4.938119366711193,1011.1473020908024
0,12001000201,1,11.482199389441735,5.877155697361446,1011.1511274776592
0,12001000201,2,8.905016800490753,4.451049041292326,1011.1199777463248
0,12001000201,3,11.09622408762849,5.346883343125885,1009.8767347670856
0,12001000201,4,10.87750699937058,4.605744041631434,1007.965110901598
0,12001000201,5,11.065028998040296,4.500101640406552,1012.0832674833704
0,12001000201,6,7.54281412685976,5.881895562757525,1011.74401978469
0,12001000201,7,10.288757859505482,5.52687636302041,1011.8162833014188
0,12001000201,8,5.773642870509733,5.6758361177134775,1013.400147698078
0,12001000201,9,11.592838081539272,4.52790086973891,1009.803479908426
0,12001000202,0,14.90189305464776,5.5658292962476,1010.9207734911544
0,12001000202,1,11.931292648855704,4.619347659976858,1009.271481107462
0,12001000202,2,9.29411325194125,4.8763225907126,1011.7636181006916
0,12001000202,3,10.711376390982425,6.276652430418336,1009.885338853184
0,12001000202,4,11.343786498062208,4.965991479261817,1010.12138822714
0,12001000202,5,8.929566807322193,5.509811141206305,1008.844663333664
0,12001000202,6,13.881435552940578,5.816952881425323,1009.3668366613224
0,12001000202,7,12.342253078732156,5.1442370836016025,1010.5668233507786
0,12001000202,8,7.867935557510987,6.223344179578627,1010.6204788266228
0,12001000202,9,12.085499062107989,5.783902082805159,1008.2825400252136
0,12001000301,0,5.312511144261448,5.157235805900817,1011.7898684958598
0,12001000301,1,12.327486906282942,5.829868317030939,1010.4443541321804
0,12001000301,2,8.669094785710302,6.558726249288553,1011.3732978101656
0,12001000301,3,7.725260008128123,5.944139523444738,1009.4220473042942
0,12001000301,4,8.4818191859393,5.845392449204576,1010.0640240503728
0,12001000301,5,7.775337279672001,5.81630069596788,1011.1492928170372
0,12001000301,6,10.31359628934343,6.065347665966436,1009.8458223287292
0,12001000301,7,9.510734179995366,5.3316130011942695,1010.4947029589644
0,12001000301,8,8.7234114988641,5.808336759053957,1008.8162984299028
0,12001000301,9,9.56195844115382,5.939476426615131,1011.1369314381836
0,12001000302,0,13.184016925403656,4.424580623578624,1008.8995516520448
0,12001000302,1,13.36446059661377,3.94306037779898,1012.2542688368997
0,12001000302,2,12.162923400418038,4.264831884018043,1013.2442113663836
0,12001000302,3,10.104122225450029,4.4269400826344265,1012.5935439644636
0,12001000302,4,12.48265115007121,3.920074650112378,1010.6115076812678
0,12001000302,5,10.518110643611218,3.830860583947362,1012.5919873044832
0,12001000302,6,10.787686354977252,4.0766881890493325,1013.232383670608
0,12001000302,7,11.256362848867802,3.936868696885316,1011.5798727279158
0,12001000302,8,9.228790079029547,4.347866906125747,1014.4969496779952
0,12001000302,9,14.273043089303624,4.014076826159986,1011.0506806432928
0,12001000400,0,11.52948454891052,6.356928091738963,1015.1979048926756
0,12001000400,1,8.839807353017726,5.881778442021967,1010.7410024558654
0,12001000400,2,4.648026221539372,5.163699507953951,1011.3428195700022
0,12001000400,3,8.904154869254066,4.802257919586233,1014.0853666404354
